id,amount_of_chicken,amount_of_feeding,ammonia,temperature,humidity,light_intensity,noise,total_egg_production
1,2763,172,12.7,28.9,47.5,256,214,2030
2,2708,167,12.7,28.6,50.6,236,218,2005
3,2766,199,15.0,29.7,48.1,231,115,2125
4,2687,182,13.4,32.3,48.7,253,172,1939
5,2688,203,14.1,27.7,50.1,261,171,2001
6,2675,205,16.2,31.8,51.4,247,86,2026
7,2797,183,18.4,31.8,54.5,327,146,2044
8,2693,175,14.7,28.5,47.9,248,230,2025
9,2736,180,13.5,29.4,55.9,372,131,2109
10,2796,168,13.9,27.7,48.5,298,91,2140
11,2745,185,13.8,30.0,54.7,347,111,2064
12,2663,200,15.7,31.2,49.7,379,177,1948
13,2635,197,15.5,31.3,54.5,269,235,1874
14,2774,192,16.1,29.4,51.6,349,210,2025
15,2741,165,16.6,28.1,54.7,298,239,2012
16,2675,192,13.4,27.5,52.9,297,203,2066
17,2729,171,17.7,29.0,52.0,385,125,2015
18,2795,175,15.7,31.4,50.8,230,228,2014
19,2604,172,18.1,31.9,54.1,308,136,1858
20,2745,170,13.0,29.9,45.8,366,107,2058
21,2721,200,13.5,30.1,51.7,284,213,2055
22,2776,177,16.8,29.5,52.4,325,187,2109
23,2715,172,14.0,27.8,45.2,371,133,2101
24,2601,169,16.7,27.8,45.7,238,159,1919
25,2660,182,16.5,28.6,46.5,376,222,1969
26,2800,195,17.3,28.5,46.1,340,165,2092
27,2719,168,16.5,32.4,46.1,333,161,2026
28,2627,180,13.6,30.2,46.5,276,146,1980
29,2619,193,17.3,31.8,46.1,368,78,2016
30,2792,180,13.5,29.9,47.4,332,90,2102
31,2600,189,14.1,31.4,50.0,338,217,1927
32,2724,174,13.6,28.6,45.6,368,90,2139
33,2614,168,16.0,30.0,54.4,270,89,2043
34,2620,176,12.9,27.8,54.5,333,105,2095
35,2745,180,16.0,27.7,45.9,379,219,2058
36,2666,178,16.5,29.1,47.9,263,240,1936
37,2680,169,12.6,30.6,51.2,255,93,2058
38,2729,181,13.3,29.2,45.8,292,169,2042
39,2712,199,16.7,30.6,55.9,365,77,2073
40,2741,184,18.1,28.0,54.7,297,104,2135
41,2790,200,13.4,28.9,47.3,317,127,2160
42,2667,197,15.4,32.0,54.3,253,237,1919
43,2670,167,12.5,31.4,52.0,297,116,2052
44,2741,192,15.9,28.1,55.4,268,214,1994
45,2694,202,15.8,29.6,45.5,323,85,2105
46,2653,180,16.5,29.3,51.2,334,233,1981
47,2660,175,18.4,31.6,54.7,236,120,1992
48,2685,191,17.3,31.8,53.9,298,115,2025
49,2627,189,17.7,31.8,47.4,347,164,1896
50,2658,179,12.6,28.5,48.6,247,146,2024
51,2730,190,16.6,31.7,48.6,237,104,2082
52,2666,176,16.0,32.4,45.4,382,186,1923
53,2680,192,16.1,30.1,49.2,377,123,1988
54,2781,192,12.5,32.1,50.9,280,168,2062
55,2770,186,16.2,30.8,46.4,306,204,2011
56,2704,185,14.9,29.0,46.4,337,245,2054
57,2773,176,16.2,29.0,51.0,230,152,2063
58,2710,202,16.1,29.1,49.9,284,205,2011
59,2788,175,16.5,28.9,52.3,388,160,2046
60,2792,180,16.5,28.6,47.2,236,86,2109
61,2721,204,17.6,27.9,49.6,377,124,2095
62,2698,196,14.9,28.2,52.6,257,183,2006
63,2778,198,15.3,30.3,55.1,261,191,2017
64,2718,198,18.4,30.5,55.5,343,231,2006
65,2729,192,17.5,30.2,54.9,351,190,1979
66,2663,205,14.2,31.4,50.3,291,145,1982
67,2782,183,13.9,29.2,54.8,250,110,2090
68,2698,174,16.7,27.8,49.5,368,194,2015
69,2652,191,14.8,31.3,55.4,235,222,1925
70,2601,187,14.3,29.4,54.8,337,212,1969
71,2739,203,17.9,29.9,48.0,354,82,2058
72,2771,190,16.8,31.7,55.1,389,211,1956
73,2700,202,15.9,27.6,52.1,264,193,1999
74,2666,189,14.5,29.8,48.7,327,146,2043
75,2707,181,17.5,29.9,53.2,243,164,1976
76,2617,167,17.0,32.2,47.2,235,234,1835
77,2632,195,16.5,30.3,47.4,295,169,1913
78,2755,172,17.2,28.3,48.4,378,81,2165
79,2747,189,14.9,31.1,45.8,390,137,2008
80,2797,184,17.6,30.5,46.3,374,85,2088
81,2709,188,12.9,30.7,45.1,337,200,1970
82,2692,205,17.8,29.8,46.7,275,208,2031
83,2669,204,17.3,30.2,50.3,341,226,1919
84,2662,170,14.2,29.8,53.3,375,231,1990
85,2686,166,15.5,29.1,50.4,320,141,2014
86,2752,182,15.8,30.1,47.1,291,179,2045
87,2794,180,16.6,30.7,50.4,234,98,2078
88,2703,180,14.3,30.4,50.2,365,163,2016
89,2790,200,14.5,31.0,48.0,294,134,2048
90,2649,185,13.2,30.2,53.4,277,124,1982
91,2723,182,16.8,32.4,50.8,302,100,2061
92,2675,179,14.7,29.0,52.8,262,145,1976
93,2613,200,14.3,32.2,52.0,355,101,2006
94,2746,183,15.3,29.7,47.0,243,139,2125
95,2722,172,17.4,29.5,45.8,243,113,2011
96,2744,184,13.0,28.7,51.1,336,230,2070
97,2758,179,17.2,29.4,55.0,306,225,2086
